arc_id,end_node_id
1,1
1,76
10,3
10,11
11,4
11,10
12,4
12,5
13,5
13,6
14,6
14,7
15,6
15,10
16,10
16,11
17,11
17,40
18,40
18,12
19,12
19,13
2,76
2,75
20,13
20,14
21,14
21,15
22,15
22,16
23,16
23,41
24,41
24,17
25,13
25,18
26,18
26,17
27,17
27,42
28,42
28,21
29,6
29,49
3,75
3,2
30,49
30,19
31,19
31,20
32,20
32,21
33,21
33,43
34,43
34,44
35,44
35,45
36,45
36,46
37,46
37,47
38,47
38,48
39,48
39,22
4,2
4,74
40,6
40,8
41,8
41,9
42,9
42,19
43,19
43,50
44,50
44,23
45,23
45,51
46,51
46,24
47,52
47,53
48,53
48,54
49,54
49,25
5,74
5,73
50,25
50,55
51,55
51,56
52,56
52,57
53,57
53,58
54,58
54,59
55,59
55,60
56,60
56,61
57,61
57,62
58,62
58,63
59,63
59,64
6,73
6,72
60,64
60,65
61,65
61,26
62,26
62,66
63,66
63,22
64,22
64,67
65,67
65,68
66,68
66,27
67,27
67,28
68,28
68,29
69,29
69,32
7,72
7,71
70,27
70,38
71,38
71,35
72,35
72,34
73,34
73,33
74,34
74,32
75,32
75,31
76,35
76,36
77,36
77,37
78,37
78,69
79,33
79,70
8,71
8,3
80,70
80,39
81,24
81,52
82,36
82,34
83,32
83,33
84,28
84,35
85,41
85,18
86,18
86,20
9,3
9,4
